nodes,ranks,seed,iterations,subiterations,graph_size,graph_file,communication_delay
1,4,1,200,5,256,graphs/power8.0.256.txt,1
1,4,1,200,5,362,graphs/power8.5.362.txt,1
1,4,1,200,5,512,graphs/power9.0.512.txt,1
1,4,1,200,5,724,graphs/power9.5.724.txt,1
1,4,1,200,5,1024,graphs/power10.0.1024.txt,1
1,4,2,200,5,256,graphs/power8.0.256.txt,1
1,4,2,200,5,362,graphs/power8.5.362.txt,1
1,4,2,200,5,512,graphs/power9.0.512.txt,1
1,4,2,200,5,724,graphs/power9.5.724.txt,1
1,4,2,200,5,1024,graphs/power10.0.1024.txt,1
1,4,3,200,5,256,graphs/power8.0.256.txt,1
1,4,3,200,5,362,graphs/power8.5.362.txt,1
1,4,3,200,5,512,graphs/power9.0.512.txt,1
1,4,3,200,5,724,graphs/power9.5.724.txt,1
1,4,3,200,5,1024,graphs/power10.0.1024.txt,1
